Time,Equity,DrawdownPct,DrawdownDuration,returns
2020-09-20,9879.994735200002,0.013743880885994098,,0.0
2020-09-21,9879.994735200002,0.013743880885994098,,0.0
2020-09-22,9879.994735200002,0.013743880885994098,,0.0
2020-09-23,9879.994735200002,0.013743880885994098,,0.0
2020-09-24,9879.994735200002,0.013743880885994098,,0.0
2020-09-25,9879.994735200002,0.013743880885994098,,0.0
2020-09-27,9879.994735200002,0.013743880885994098,,0.0
2020-09-28,9879.994735200002,0.013743880885994098,,0.0
2020-09-29,9892.194545600001,0.012526052538762045,,0.001234799281474741
2020-09-30,9892.194545600001,0.012526052538762045,,0.0
2020-10-01,9892.194545600001,0.012526052538762045,,0.0
2020-10-02,9892.194545600001,0.012526052538762045,,0.0
2020-10-04,9892.194545600001,0.012526052538762045,,0.0
2020-10-05,9892.194545600001,0.012526052538762045,,0.0
2020-10-06,9892.194545600001,0.012526052538762045,,0.0
2020-10-07,9892.194545600001,0.012526052538762045,,0.0
2020-10-08,9892.194545600001,0.012526052538762045,,0.0
2020-10-09,9892.194545600001,0.012526052538762045,,0.0
2020-10-11,9892.194545600001,0.012526052538762045,,0.0
2020-10-12,9892.194545600001,0.012526052538762045,,0.0
2020-10-13,9892.194545600001,0.012526052538762045,,0.0
2020-10-14,9892.194545600001,0.012526052538762045,,0.0
2020-10-15,9892.194545600001,0.012526052538762045,,0.0
2020-10-16,9892.194545600001,0.012526052538762045,,0.0
2020-10-18,9892.194545600001,0.012526052538762045,,0.0
2020-10-19,9892.194545600001,0.012526052538762045,,0.0
2020-10-20,9892.194545600001,0.012526052538762045,,0.0
2020-10-21,9892.194545600001,0.012526052538762045,,0.0
2020-10-22,9892.194545600001,0.012526052538762045,,0.0
2020-10-23,9892.194545600001,0.012526052538762045,,0.0
2020-10-25,9892.194545600001,0.012526052538762045,,0.0
2020-10-26,9892.194545600001,0.012526052538762045,,0.0
2020-10-27,9892.194545600001,0.012526052538762045,,0.0
2020-10-28,9892.194545600001,0.012526052538762045,,0.0
2020-10-29,9892.194545600001,0.012526052538762045,,0.0
2020-10-30,9892.194545600001,0.012526052538762045,,0.0
2020-11-01,9892.194545600001,0.012526052538762045,,0.0
2020-11-02,9892.194545600001,0.012526052538762045,,0.0
2020-11-03,9892.194545600001,0.012526052538762045,,0.0
2020-11-04,9892.194545600001,0.012526052538762045,,0.0
2020-11-05,9892.194545600001,0.012526052538762045,,0.0
2020-11-06,9892.194545600001,0.012526052538762045,,0.0
2020-11-08,9892.194545600001,0.012526052538762045,,0.0
2020-11-09,9892.194545600001,0.012526052538762045,,0.0
2020-11-10,9892.194545600001,0.012526052538762045,,0.0
2020-11-11,9892.194545600001,0.012526052538762045,,0.0
2020-11-12,9892.194545600001,0.012526052538762045,,0.0
2020-11-13,9892.194545600001,0.012526052538762045,,0.0
2020-11-15,9892.194545600001,0.012526052538762045,,0.0
2020-11-16,9892.194545600001,0.012526052538762045,,0.0
2020-11-17,9892.194545600001,0.012526052538762045,,0.0
2020-11-18,9892.194545600001,0.012526052538762045,,0.0
2020-11-19,9892.194545600001,0.012526052538762045,,0.0
2020-11-20,9892.194545600001,0.012526052538762045,,0.0
2020-11-22,9892.194545600001,0.012526052538762045,,0.0
2020-11-23,9892.194545600001,0.012526052538762045,,0.0
2020-11-24,9892.194545600001,0.012526052538762045,,0.0
2020-11-25,9892.194545600001,0.012526052538762045,,0.0
2020-11-26,9892.194545600001,0.012526052538762045,,0.0
2020-11-27,9892.194545600001,0.012526052538762045,,0.0
2020-11-29,9892.194545600001,0.012526052538762045,,0.0
2020-11-30,9892.194545600001,0.012526052538762045,,0.0
2020-12-01,9892.194545600001,0.012526052538762045,,0.0
2020-12-02,9892.194545600001,0.012526052538762045,,0.0
2020-12-03,9892.194545600001,0.012526052538762045,,0.0
2020-12-04,9892.194545600001,0.012526052538762045,,0.0
2020-12-06,9892.194545600001,0.012526052538762045,,0.0
2020-12-07,9892.194545600001,0.012526052538762045,,0.0
2020-12-08,9892.194545600001,0.012526052538762045,,0.0
2020-12-09,9892.194545600001,0.012526052538762045,,0.0
2020-12-10,9892.194545600001,0.012526052538762045,,0.0
2020-12-11,9892.194545600001,0.012526052538762045,,0.0
2020-12-13,9892.194545600001,0.012526052538762045,,0.0
2020-12-14,9892.194545600001,0.012526052538762045,,0.0
2020-12-15,9892.194545600001,0.012526052538762045,,0.0
2020-12-16,9892.194545600001,0.012526052538762045,,0.0
2020-12-17,9892.194545600001,0.012526052538762045,,0.0
2020-12-18,9892.194545600001,0.012526052538762045,,0.0
2020-12-20,9892.194545600001,0.012526052538762045,,0.0
2020-12-21,9892.194545600001,0.012526052538762045,,0.0
2020-12-22,9892.194545600001,0.012526052538762045,,0.0
2020-12-23,9892.194545600001,0.012526052538762045,,0.0
2020-12-24,9892.194545600001,0.012526052538762045,,0.0
2020-12-27,9892.194545600001,0.012526052538762045,,0.0
2020-12-28,9892.194545600001,0.012526052538762045,,0.0
2020-12-29,9892.194545600001,0.012526052538762045,,0.0
2020-12-30,9892.194545600001,0.012526052538762045,,0.0
2020-12-31,9892.194545600001,0.012526052538762045,,0.0
2021-01-03,9892.194545600001,0.012526052538762045,,0.0
2021-01-04,9892.194545600001,0.012526052538762045,,0.0
2021-01-05,9892.194545600001,0.012526052538762045,,0.0
2021-01-06,9892.194545600001,0.012526052538762045,,0.0
2021-01-07,9892.194545600001,0.012526052538762045,,0.0
2021-01-08,9892.194545600001,0.012526052538762045,,0.0
2021-01-10,9892.194545600001,0.012526052538762045,,0.0
2021-01-11,9892.194545600001,0.012526052538762045,,0.0
2021-01-12,9892.194545600001,0.012526052538762045,,0.0
2021-01-13,9892.194545600001,0.012526052538762045,,0.0
2021-01-14,9892.194545600001,0.012526052538762045,,0.0
2021-01-15,9892.194545600001,0.012526052538762045,,0.0
2021-01-17,9892.194545600001,0.012526052538762045,,0.0
2021-01-18,9892.194545600001,0.012526052538762045,,0.0
2021-01-19,9892.194545600001,0.012526052538762045,,0.0
2021-01-20,9892.194545600001,0.012526052538762045,,0.0
2021-01-21,9892.194545600001,0.012526052538762045,,0.0
2021-01-22,9892.194545600001,0.012526052538762045,,0.0
2021-01-24,9892.194545600001,0.012526052538762045,,0.0
2021-01-25,9892.194545600001,0.012526052538762045,,0.0
2021-01-26,9892.194545600001,0.012526052538762045,,0.0
2021-01-27,9892.194545600001,0.012526052538762045,,0.0
2021-01-28,9892.194545600001,0.012526052538762045,,0.0
2021-01-29,9892.194545600001,0.012526052538762045,,0.0
2021-01-31,9892.194545600001,0.012526052538762045,,0.0
2021-02-01,9892.194545600001,0.012526052538762045,,0.0
2021-02-02,9892.194545600001,0.012526052538762045,,0.0
2021-02-03,9892.194545600001,0.012526052538762045,,0.0
2021-02-04,9892.194545600001,0.012526052538762045,,0.0
2021-02-05,9892.194545600001,0.012526052538762045,,0.0
2021-02-07,9892.194545600001,0.012526052538762045,,0.0
2021-02-08,9892.194545600001,0.012526052538762045,,0.0
2021-02-09,9892.194545600001,0.012526052538762045,,0.0
2021-02-10,9892.194545600001,0.012526052538762045,,0.0
2021-02-11,9892.194545600001,0.012526052538762045,,0.0
2021-02-12,9892.194545600001,0.012526052538762045,,0.0
2021-02-14,9892.194545600001,0.012526052538762045,,0.0
2021-02-15,9892.194545600001,0.012526052538762045,,0.0
2021-02-16,9892.194545600001,0.012526052538762045,,0.0
2021-02-17,9892.194545600001,0.012526052538762045,,0.0
2021-02-18,9892.194545600001,0.012526052538762045,,0.0
2021-02-19,9892.194545600001,0.012526052538762045,,0.0
2021-02-21,9892.194545600001,0.012526052538762045,,0.0
2021-02-22,9892.194545600001,0.012526052538762045,,0.0
2021-02-23,9892.194545600001,0.012526052538762045,,0.0
2021-02-24,9892.194545600001,0.012526052538762045,,0.0
2021-02-25,9892.194545600001,0.012526052538762045,,0.0
2021-02-26,9892.194545600001,0.012526052538762045,,0.0
2021-02-28,9892.194545600001,0.012526052538762045,,0.0
2021-03-01,9892.194545600001,0.012526052538762045,,0.0
2021-03-02,9892.194545600001,0.012526052538762045,,0.0
2021-03-03,9892.194545600001,0.012526052538762045,,0.0
2021-03-04,9892.194545600001,0.012526052538762045,,0.0
2021-03-05,9892.194545600001,0.012526052538762045,,0.0
2021-03-07,9892.194545600001,0.012526052538762045,,0.0
2021-03-08,9892.194545600001,0.012526052538762045,,0.0
2021-03-09,9892.194545600001,0.012526052538762045,,0.0
2021-03-10,9892.194545600001,0.012526052538762045,,0.0
2021-03-11,9892.194545600001,0.012526052538762045,,0.0
2021-03-12,9892.194545600001,0.012526052538762045,,0.0
2021-03-14,9892.194545600001,0.012526052538762045,,0.0
2021-03-15,9892.194545600001,0.012526052538762045,,0.0
2021-03-16,9892.194545600001,0.012526052538762045,,0.0
2021-03-17,9892.194545600001,0.012526052538762045,,0.0
2021-03-18,9892.194545600001,0.012526052538762045,,0.0
2021-03-19,9892.194545600001,0.012526052538762045,,0.0
2021-03-21,9892.194545600001,0.012526052538762045,,0.0
2021-03-22,9892.194545600001,0.012526052538762045,,0.0
2021-03-23,9892.194545600001,0.012526052538762045,,0.0
2021-03-24,9892.194545600001,0.012526052538762045,,0.0
2021-03-25,9892.194545600001,0.012526052538762045,,0.0
2021-03-26,9892.194545600001,0.012526052538762045,,0.0
2021-03-28,9892.194545600001,0.012526052538762045,,0.0
2021-03-29,9892.194545600001,0.012526052538762045,,0.0
2021-03-30,9892.194545600001,0.012526052538762045,,0.0
2021-03-31,9892.194545600001,0.012526052538762045,,0.0
2021-04-01,9892.194545600001,0.012526052538762045,,0.0
2021-04-04,9892.194545600001,0.012526052538762045,,0.0
2021-04-05,9892.194545600001,0.012526052538762045,,0.0
2021-04-06,9892.194545600001,0.012526052538762045,,0.0
2021-04-07,9892.194545600001,0.012526052538762045,,0.0
2021-04-08,9892.194545600001,0.012526052538762045,,0.0
2021-04-09,9892.194545600001,0.012526052538762045,,0.0
2021-04-11,9892.194545600001,0.012526052538762045,,0.0
2021-04-12,9892.194545600001,0.012526052538762045,,0.0
2021-04-13,9892.194545600001,0.012526052538762045,,0.0
2021-04-14,9892.194545600001,0.012526052538762045,,0.0
2021-04-15,9892.194545600001,0.012526052538762045,,0.0
2021-04-16,9892.194545600001,0.012526052538762045,,0.0
2021-04-18,9892.194545600001,0.012526052538762045,,0.0
2021-04-19,9892.194545600001,0.012526052538762045,,0.0
2021-04-20,9892.194545600001,0.012526052538762045,,0.0
2021-04-21,9892.194545600001,0.012526052538762045,,0.0
2021-04-22,9892.194545600001,0.012526052538762045,,0.0
2021-04-23,9892.194545600001,0.012526052538762045,,0.0
2021-04-25,9892.194545600001,0.012526052538762045,,0.0
2021-04-26,9892.194545600001,0.012526052538762045,,0.0
2021-04-27,9892.194545600001,0.012526052538762045,,0.0
2021-04-28,9892.194545600001,0.012526052538762045,,0.0
2021-04-29,9892.194545600001,0.012526052538762045,,0.0
2021-04-30,9892.194545600001,0.012526052538762045,,0.0
2021-05-02,9892.194545600001,0.012526052538762045,,0.0
2021-05-03,9892.194545600001,0.012526052538762045,,0.0
2021-05-04,9892.194545600001,0.012526052538762045,,0.0
2021-05-05,9892.194545600001,0.012526052538762045,,0.0
2021-05-06,9892.194545600001,0.012526052538762045,,0.0
2021-05-07,9892.194545600001,0.012526052538762045,,0.0
2021-05-09,9892.194545600001,0.012526052538762045,,0.0
2021-05-10,9892.194545600001,0.012526052538762045,,0.0
2021-05-11,9892.194545600001,0.012526052538762045,,0.0
2021-05-12,9892.194545600001,0.012526052538762045,,0.0
2021-05-13,9892.194545600001,0.012526052538762045,,0.0
2021-05-14,9892.194545600001,0.012526052538762045,,0.0
2021-05-16,9892.194545600001,0.012526052538762045,,0.0
2021-05-17,9892.194545600001,0.012526052538762045,,0.0
2021-05-18,9892.194545600001,0.012526052538762045,,0.0
2021-05-19,9892.194545600001,0.012526052538762045,,0.0
2021-05-20,9892.194545600001,0.012526052538762045,,0.0
2021-05-21,9892.194545600001,0.012526052538762045,,0.0
2021-05-23,9892.194545600001,0.012526052538762045,,0.0
2021-05-24,9892.194545600001,0.012526052538762045,,0.0
2021-05-25,9892.194545600001,0.012526052538762045,,0.0
2021-05-26,9892.194545600001,0.012526052538762045,,0.0
2021-05-27,9892.194545600001,0.012526052538762045,,0.0
2021-05-28,9892.194545600001,0.012526052538762045,,0.0
2021-05-30,9892.194545600001,0.012526052538762045,,0.0
2021-05-31,9892.194545600001,0.012526052538762045,,0.0
2021-06-01,9892.194545600001,0.012526052538762045,,0.0
2021-06-02,9892.194545600001,0.012526052538762045,,0.0
2021-06-03,9892.194545600001,0.012526052538762045,,0.0
2021-06-04,9892.194545600001,0.012526052538762045,,0.0
2021-06-06,9892.194545600001,0.012526052538762045,,0.0
2021-06-07,9892.194545600001,0.012526052538762045,,0.0
2021-06-08,9892.194545600001,0.012526052538762045,,0.0
2021-06-09,9892.194545600001,0.012526052538762045,,0.0
2021-06-10,9892.194545600001,0.012526052538762045,,0.0
2021-06-11,9892.194545600001,0.012526052538762045,,0.0
2021-06-13,9892.194545600001,0.012526052538762045,,0.0
2021-06-14,9892.194545600001,0.012526052538762045,,0.0
2021-06-15,9892.194545600001,0.012526052538762045,,0.0
2021-06-16,9892.194545600001,0.012526052538762045,,0.0
2021-06-17,9892.194545600001,0.012526052538762045,,0.0
2021-06-18,9892.194545600001,0.012526052538762045,,0.0
2021-06-20,9892.194545600001,0.012526052538762045,,0.0
2021-06-21,9892.194545600001,0.012526052538762045,,0.0
2021-06-22,9892.194545600001,0.012526052538762045,,0.0
2021-06-23,9892.194545600001,0.012526052538762045,,0.0
2021-06-24,9892.194545600001,0.012526052538762045,,0.0
2021-06-25,9892.194545600001,0.012526052538762045,,0.0
2021-06-27,9892.194545600001,0.012526052538762045,,0.0
2021-06-28,9892.194545600001,0.012526052538762045,,0.0
2021-06-29,9892.194545600001,0.012526052538762045,,0.0
2021-06-30,9892.194545600001,0.012526052538762045,,0.0
2021-07-01,9892.194545600001,0.012526052538762045,,0.0
2021-07-02,9892.194545600001,0.012526052538762045,,0.0
2021-07-04,9892.194545600001,0.012526052538762045,,0.0
2021-07-05,9892.194545600001,0.012526052538762045,,0.0
2021-07-06,9892.194545600001,0.012526052538762045,,0.0
2021-07-07,9892.194545600001,0.012526052538762045,,0.0
2021-07-08,9892.194545600001,0.012526052538762045,,0.0
2021-07-09,9892.194545600001,0.012526052538762045,,0.0
2021-07-11,9892.194545600001,0.012526052538762045,,0.0
2021-07-12,9892.194545600001,0.012526052538762045,,0.0
2021-07-13,9883.880452000001,0.013355994852260689,,-0.0008404700859525605
2021-07-14,9883.880452000001,0.013355994852260689,,0.0
2021-07-15,9883.880452000001,0.013355994852260689,,0.0
2021-07-16,9883.880452000001,0.013355994852260689,,0.0
2021-07-18,9883.880452000001,0.013355994852260689,,0.0
2021-07-19,9883.880452000001,0.013355994852260689,,0.0
2021-07-20,9883.880452000001,0.013355994852260689,,0.0
2021-07-21,9883.880452000001,0.013355994852260689,,0.0
2021-07-22,9883.880452000001,0.013355994852260689,,0.0
2021-07-23,9883.880452000001,0.013355994852260689,,0.0
2021-07-25,9883.880452000001,0.013355994852260689,,0.0
2021-07-26,9883.880452000001,0.013355994852260689,,0.0
2021-07-27,9883.880452000001,0.013355994852260689,,0.0
2021-07-28,9883.880452000001,0.013355994852260689,,0.0
2021-07-29,9883.880452000001,0.013355994852260689,,0.0
2021-07-30,9883.880452000001,0.013355994852260689,,0.0
2021-08-01,9883.880452000001,0.013355994852260689,,0.0
2021-08-02,9883.880452000001,0.013355994852260689,,0.0
2021-08-03,9883.880452000001,0.013355994852260689,,0.0
2021-08-04,9883.880452000001,0.013355994852260689,,0.0
2021-08-05,9883.880452000001,0.013355994852260689,,0.0
2021-08-06,9883.880452000001,0.013355994852260689,,0.0
2021-08-08,9883.880452000001,0.013355994852260689,,0.0
2021-08-09,9883.880452000001,0.013355994852260689,,0.0
2021-08-10,9883.880452000001,0.013355994852260689,,0.0
2021-08-11,9883.880452000001,0.013355994852260689,,0.0
2021-08-12,9883.880452000001,0.013355994852260689,,0.0
2021-08-13,9883.880452000001,0.013355994852260689,,0.0
2021-08-15,9883.880452000001,0.013355994852260689,,0.0
2021-08-16,9883.880452000001,0.013355994852260689,,0.0
2021-08-17,9883.880452000001,0.013355994852260689,,0.0
2021-08-18,9883.880452000001,0.013355994852260689,,0.0
2021-08-19,9883.880452000001,0.013355994852260689,,0.0
2021-08-20,9883.880452000001,0.013355994852260689,,0.0
2021-08-22,9883.880452000001,0.013355994852260689,,0.0
2021-08-23,9883.880452000001,0.013355994852260689,,0.0
2021-08-24,9883.880452000001,0.013355994852260689,,0.0
2021-08-25,9883.880452000001,0.013355994852260689,,0.0
2021-08-26,9883.880452000001,0.013355994852260689,,0.0
2021-08-27,9883.880452000001,0.013355994852260689,,0.0
2021-08-29,9883.880452000001,0.013355994852260689,,0.0
2021-08-30,9883.880452000001,0.013355994852260689,,0.0
2021-08-31,9883.880452000001,0.013355994852260689,,0.0
2021-09-01,9883.880452000001,0.013355994852260689,,0.0
2021-09-02,9883.880452000001,0.013355994852260689,,0.0
2021-09-03,9883.880452000001,0.013355994852260689,,0.0
2021-09-05,9883.880452000001,0.013355994852260689,,0.0
2021-09-06,9883.880452000001,0.013355994852260689,,0.0
2021-09-07,9883.880452000001,0.013355994852260689,,0.0
2021-09-08,9883.880452000001,0.013355994852260689,,0.0
2021-09-09,9883.880452000001,0.013355994852260689,,0.0
2021-09-10,9883.880452000001,0.013355994852260689,,0.0
2021-09-12,9883.880452000001,0.013355994852260689,,0.0
2021-09-13,9883.880452000001,0.013355994852260689,,0.0
2021-09-14,9883.880452000001,0.013355994852260689,,0.0
2021-09-15,9883.880452000001,0.013355994852260689,,0.0
2021-09-16,9883.880452000001,0.013355994852260689,,0.0
2021-09-17,9883.880452000001,0.013355994852260689,,0.0
2021-09-19,9883.880452000001,0.013355994852260689,,0.0
2021-09-20,9883.880452000001,0.013355994852260689,,0.0
2021-09-21,9883.880452000001,0.013355994852260689,,0.0
2021-09-22,9883.880452000001,0.013355994852260689,,0.0
2021-09-23,9883.880452000001,0.013355994852260689,,0.0
2021-09-24,9883.880452000001,0.013355994852260689,,0.0
2021-09-26,9883.880452000001,0.013355994852260689,,0.0
2021-09-27,9883.880452000001,0.013355994852260689,,0.0
2021-09-28,9883.880452000001,0.013355994852260689,,0.0
2021-09-29,9883.880452000001,0.013355994852260689,,0.0
2021-09-30,9883.880452000001,0.013355994852260689,,0.0
2021-10-01,9883.880452000001,0.013355994852260689,,0.0
2021-10-03,9883.880452000001,0.013355994852260689,,0.0
2021-10-04,9883.880452000001,0.013355994852260689,,0.0
2021-10-05,9883.880452000001,0.013355994852260689,,0.0
2021-10-06,9883.880452000001,0.013355994852260689,,0.0
2021-10-07,9883.880452000001,0.013355994852260689,,0.0
2021-10-08,9883.880452000001,0.013355994852260689,,0.0
2021-10-10,9883.880452000001,0.013355994852260689,,0.0
2021-10-11,9883.880452000001,0.013355994852260689,,0.0
2021-10-12,9883.880452000001,0.013355994852260689,,0.0
2021-10-13,9883.880452000001,0.013355994852260689,,0.0
2021-10-14,9883.880452000001,0.013355994852260689,,0.0
2021-10-15,9883.880452000001,0.013355994852260689,,0.0
2021-10-17,9883.880452000001,0.013355994852260689,,0.0
2021-10-18,9883.880452000001,0.013355994852260689,,0.0
2021-10-19,9883.880452000001,0.013355994852260689,,0.0
2021-10-20,9883.880452000001,0.013355994852260689,,0.0
2021-10-21,9883.880452000001,0.013355994852260689,,0.0
2021-10-22,9883.880452000001,0.013355994852260689,,0.0
2021-10-24,9883.880452000001,0.013355994852260689,,0.0
2021-10-25,9883.880452000001,0.013355994852260689,,0.0
2021-10-26,9883.880452000001,0.013355994852260689,,0.0
2021-10-27,9883.880452000001,0.013355994852260689,,0.0
2021-10-28,9883.880452000001,0.013355994852260689,,0.0
2021-10-29,9883.880452000001,0.013355994852260689,,0.0
2021-10-31,9883.880452000001,0.013355994852260689,,0.0
2021-11-01,9883.880452000001,0.013355994852260689,,0.0
2021-11-02,9883.880452000001,0.013355994852260689,,0.0
2021-11-03,9883.880452000001,0.013355994852260689,,0.0
2021-11-04,9883.880452000001,0.013355994852260689,,0.0
